Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,right_wheel_dof,left_wheel_dof,torso_0_dof,torso_1_dof,torso_2_dof,torso_3_dof,torso_4_dof,torso_5_dof,right_arm_0_dof,right_arm_1_dof,right_arm_2_dof,right_arm_3_dof,right_arm_4_dof,right_arm_5_dof,right_arm_6_dof,left_arm_0_dof,left_arm_1_dof,left_arm_2_dof,left_arm_3_dof,left_arm_4_dof,left_arm_5_dof,left_arm_6_dof,head_0_dof,head_1_dof
0,3.177005425095558,4.73380871117115,0.0,0.0,0.0,32.96896453872012,-0.0,-0.0,11.863167739192972,-45.27460559272486,27.54706304536833,56.02152576114641,-15.301066618290728,26.456848740618405,-99.61828855406846,-62.48709894269636,0.7788221385076358,-12.510099351714485,44.60346778978482,105.16540619792681,-1.4883822101282285,-102.73591474034244,29.491684496415367,-10.389644925769224,-26.83635454147182,-12.43338095940961,101.7971462200592,23.347374385118833,0.0,0.0
1,2.364252880215645,4.504511505365372,0.0,0.0,0.0,34.07656509000232,1.6866302650568468,7.556912759965645,12.294073274871675,-51.27427449551533,36.78212937874401,51.464403056346384,-16.503618751867144,26.265705896695597,-100.77837569402762,-63.73341722092693,-1.511364516024852,-12.045974337233778,47.25685284836221,105.29481096194186,0.45127998997285124,-107.14921415178951,27.38721612822252,-10.775594156330902,-23.38681360493378,-14.083277186449658,101.0099737484044,23.449303005650226,0.0,0.0
2,1.556430384516716,4.420919716358185,0.0,0.0,0.0,34.09267409115979,5.746018302017817,11.701679015325421,13.465281670346904,-54.05288424233572,40.72058037871344,48.65934340196512,-18.796322010943666,26.44606216437166,-99.69156282348436,-62.84109398699979,-3.8685312072096583,-12.909593701173945,49.62366024483878,105.0704050967611,1.7051711337239637,-108.89049574860339,24.878356164935315,-11.215793018149055,-22.678907186144272,-15.924732898951884,100.31415505689853,25.721698404777005,0.0,0.0
3,0.8846824057400227,4.565495997667313,0.0,0.0,0.0,30.74697764321533,17.335131104066374,5.55860089940043,17.11920150364559,-55.68824326550104,45.34923223959642,44.5650479757035,-23.284411993802365,28.144887305304742,-97.76361215665403,-50.76997430833661,-45.11449571329601,-26.945331917226667,93.16190880714134,102.66617167872744,10.518668052964411,-107.04685693688769,23.397914369882344,-2.846763081906077,-23.819217513361654,-23.841367816840005,99.2509336597485,26.400211104473364,0.0,0.0
4,-0.3718084888532758,4.692114889621735,0.0,0.0,0.0,33.541344636450944,15.746362508777,18.779977368259825,20.000007955922303,-56.2170433412326,59.28205316523539,34.53552648147049,-25.03006320413776,24.638092308049067,-98.09203497270492,-15.986925186439436,-66.04786780232077,-86.82434703101576,123.46625604119399,87.22417947483913,33.48276210393975,-83.22038405508019,17.284179600405373,23.87269447946827,-72.92212535285844,-45.61910325898738,103.65803125942918,0.6333248084777895,0.0,0.0
5,-1.3737736269831657,5.269185826182365,0.0,0.0,0.0,34.44855085257955,16.300282312728573,24.142090800711912,19.046235217579845,-57.44116008956605,73.27874318980315,31.364846800818437,-26.59079387288423,11.940383881533613,-92.89025852347159,-11.153773192938047,-44.54464961574726,-118.31917574683412,110.4643557484819,97.43146688750548,61.899026485347434,-95.54341818580636,6.875726468096049,52.869297836537136,-126.0276862629755,-75.58145267601374,100.53143703477498,-51.09541916190937,0.0,0.0
6,-1.5002132393419743,6.199789047241211,0.0,0.0,0.0,36.92792318167252,7.311238539483103,28.293718834866613,19.52343492167925,-57.91956702960125,73.41553821850016,34.727133778256864,-26.884022431689342,10.007892846452517,-97.03153199084456,-10.1773916746692,-40.32854801092222,-124.80041055215092,112.7557476112378,99.00062088704587,66.2236768715569,-103.11462823925214,6.615428812600509,56.42390245043561,-129.38663669300436,-78.69030206920425,99.95409480461214,-56.30542257399799,0.0,0.0
7,-1.6037661582231522,7.069029659032822,0.0,0.0,0.0,39.37354754607645,-1.6876375045160121,32.256650940368665,20.000007955922303,-58.36652777869771,73.23669654527255,37.17541167115335,-27.303546310889864,9.189135872528286,-100.59986870006934,-8.902767384970808,-37.27466798017197,-128.63661362024527,115.37197644073031,100.66371047824144,68.6799016895527,-107.23905162994268,5.853474253135043,59.14989583498481,-130.64466191547234,-80.64720590792626,100.45015778365183,-57.06113177924112,0.0,0.0
8,-1.653372310101986,7.859693467617035,0.0,0.0,0.0,41.08265553680499,-8.870883208151541,34.13167788641515,20.000007955922303,-58.732045352130946,73.11001702673633,38.861327754555106,-27.42465751770524,8.602348344516967,-102.86665822143483,-7.578187091682943,-34.21202823181118,-130.91903061443173,117.38415017021606,101.94772457050131,68.60946877883153,-110.58792753094578,5.438708027578257,61.62392695614683,-131.71015776561597,-83.07686812023988,101.33970113058677,-56.848921216823406,0.0,0.0
9,-1.7627010121941566,8.656313270330429,0.0,0.0,0.0,42.91356970609695,-16.250056516666884,36.45634984590191,20.000007955922303,-59.026610920466084,73.04930347520408,40.443343000302626,-27.525467694760042,8.148023797721583,-105.4489819918874,-6.493060424091031,-31.61597578112688,-132.87878947222683,119.22383430240231,103.39873678796799,67.98686971522818,-113.64388393920372,4.582941246749489,64.65487804185335,-133.1042403563506,-84.47608701323036,102.03150367086069,-57.05342732585734,0.0,0.0
10,-1.6777755692601204,9.160090237855911,0.0,0.0,0.0,43.696169366102424,-20.64566573816361,36.20851984696259,20.000007955922303,-59.29498271333423,73.33623972223631,40.52130960967832,-28.267627512237166,8.464021645898576,-106.21305476376921,-5.988163022246756,-31.569503174014116,-133.6329243188663,118.93457579105227,104.52914675598345,67.55627409938307,-114.01677811694056,4.21371488059694,65.49083172456038,-133.6305064319001,-84.77436137428481,103.14157333552784,-56.60070872729056,0.0,0.0
11,-1.667434349656105,9.742148220539093,0.0,0.0,0.0,44.77817719856458,-25.85972115997733,36.7291066202172,20.000007955922303,-59.85277694209249,74.08616717234703,40.77941904331852,-29.29671333146277,8.535380047252284,-107.5630962947356,-5.160492224568835,-31.19925569458065,-135.5457324563067,118.82123563196508,106.50252501098352,66.2031999644252,-115.19918631510733,3.384289578075972,67.11304263357343,-135.06234630836653,-85.48018629292476,105.40399153582453,-55.292539671030944,0.0,0.0
12,-1.8610158935189247,10.266062617301941,0.0,0.0,0.0,45.877130730357536,-30.099001011750804,38.314277413361275,20.000007955922303,-60.00013827343551,74.6456894389653,40.959978509122394,-30.000014495204397,8.898454974283592,-109.05308840179553,-4.6406093876855525,-31.191155090225013,-137.45187432911717,118.69475418891479,108.28066230855879,64.82663680891166,-116.15690178014817,2.892137736109764,68.76145414824265,-136.13751370637493,-86.12118588615212,107.18630890917184,-54.25499978516016,0.0,0.0
13,-2.325223386287689,10.59517040848732,0.0,0.0,0.0,46.73366035793923,-31.87072476169543,41.08216376318475,20.000007955922303,-60.00013827343551,75.02359697555295,41.071976536037674,-30.000014495204397,9.27964356299377,-110.44978012479311,-4.1273646409018765,-31.397532671091536,-139.1374967143846,118.53994112118728,109.95671559879905,63.73408657946559,-116.98678342468305,2.426907511643985,70.15788632405176,-136.93081285771524,-86.47613715693934,108.69234513059214,-53.516775864192255,0.0,0.0
14,-2.995450422167778,10.719393193721771,0.0,0.0,0.0,47.373211951062544,-31.451829259898552,44.89068065947844,20.000007955922303,-60.00013827343551,75.28481073017092,41.18228067603879,-30.000014495204397,9.529904255503977,-111.42295913811486,-3.751086531318112,-31.716857675167972,-140.3673405763371,118.50714255279287,111.26113829629892,62.944004447224366,-117.63168988611567,2.0388819035746217,71.2914381790854,-137.46720127361468,-86.680933549013,109.94289129591894,-53.05739441609012,0.0,0.0
